_step,epoch,action_dit_loss,learning_rate/base,learning_rate/pi05_model.paligemma_with_expert.gemma_expert,timing/data,timing/model,rtc_postfix_count,_runtime,_timestamp
990,0.11,0.003997441381216049,9.9e-06,4.9500000000000004e-05,0.0002214559999629273,0.6978785890000836,109,737.01147781,1786042781.3907797
1000,0.11,0.009594599716365337,1e-05,5e-05,0.0002223960000264924,0.7055473089999396,108,744.48389148,1786042788.3481364
1010,0.11,0.005351491272449493,1.0100000000000002e-05,5.05e-05,0.00022662299988951418,0.8655390410001473,112,752.104391181,1786042795.8205109
1020,0.11,0.012422291561961174,1.02e-05,5.1000000000000006e-05,0.00024625400010336307,0.6948280960000375,112,759.287502442,1786042803.441059
1030,0.12,0.0032617244869470596,1.0300000000000001e-05,5.1500000000000005e-05,0.00045290599996405945,0.6949500109999462,105,766.31194755,1786042810.6242025
1040,0.12,0.007832500152289867,1.04e-05,5.2000000000000004e-05,0.00023961500005498237,0.6919570319998911,118,773.519379644,1786042817.648575
1050,0.12,0.004798530600965023,1.0500000000000001e-05,5.25e-05,0.0006492400000297494,0.8518247719998726,111,780.946139632,1786042824.8559659
1060,0.12,0.0025282965507358313,1.0600000000000002e-05,5.300000000000001e-05,0.0002251079999950889,0.6870818630000031,113,788.189901223,1786042832.2825592
1070,0.12,0.005695706699043512,1.0700000000000001e-05,5.3500000000000006e-05,0.00023042800012262887,0.7147813700000825,107,795.32058411,1786042839.5265007
1080,0.12,0.005579983349889517,1.0800000000000002e-05,5.4000000000000005e-05,0.0002256679999845801,0.6947934699999223,111,802.99013577,1786042846.6572914
1090,0.12,0.0034042252227663994,1.0900000000000002e-05,5.45e-05,0.00027193100004296866,0.9265504100001181,109,810.44856936,1786042854.3267307
1100,0.12,0.004448879975825548,1.1000000000000001e-05,5.500000000000001e-05,0.00023024100005386572,0.6939741889998459,112,817.645958245,1786042861.7851372
1110,0.12,0.004032629542052746,1.1100000000000002e-05,5.550000000000001e-05,0.00021302400000422494,0.6882894430000306,115,824.7034839,1786042868.9824905
1120,0.13,0.014829861000180244,1.1200000000000001e-05,5.6000000000000006e-05,0.00020901100015180418,0.7251326729999619,110,832.098394875,1786042876.0401585
1130,0.13,0.014676480554044247,1.13e-05,5.65e-05,0.0002508259999558504,0.6866561860001639,111,839.456652259,1786042883.4350936
1140,0.13,0.0035007994156330824,1.14e-05,5.6999999999999996e-05,0.00022518700006912695,0.7106758699999318,112,846.799270527,1786042890.7932932
1150,0.13,0.007470959331840277,1.15e-05,5.7499999999999995e-05,0.00023458100008610927,0.6911554430000706,114,853.935742002,1786042898.1359565
1160,0.13,0.005878293886780739,1.16e-05,5.8e-05,0.0002967010000247683,0.7529027430000497,108,861.995024232,1786042905.2723808
1170,0.13,0.0011940387776121497,1.17e-05,5.85e-05,0.0002272140000059153,0.9514680339998449,116,869.35403331,1786042913.331584
1180,0.13,0.006806912366300821,1.18e-05,5.9e-05,0.000211722999893027,0.6918590790000962,112,876.66878096,1786042920.690658
1190,0.13,0.001797357457689941,1.1900000000000001e-05,5.95e-05,0.0002112810000198806,0.7123439460001464,110,883.725436316,1786042928.005317
1200,0.14,0.0032890252768993378,1.2e-05,6e-05,0.00021435999997265753,0.6854672169999958,112,891.389086545,1786042935.0621145
